Date,Open,High,Low,Close,Adj Close,Volume
"Dec 31, 2021","4,775.21","4,786.83","4,765.75","4,766.18","4,766.18","2,446,190,000"
"Dec 30, 2021","4,794.23","4,808.93","4,775.33","4,778.73","4,778.73","2,390,990,000"
"Dec 29, 2021","4,788.64","4,804.06","4,778.08","4,793.06","4,793.06","2,369,370,000"
"Dec 28, 2021","4,795.49","4,807.02","4,780.04","4,786.35","4,786.35","2,217,050,000"
"Dec 27, 2021","4,733.99","4,791.49","4,733.99","4,791.19","4,791.19","2,264,120,000"
"Dec 23, 2021","4,703.96","4,740.74","4,703.96","4,725.79","4,725.79","2,194,630,000"
"Dec 22, 2021","4,650.36","4,697.67","4,645.53","4,696.56","4,696.56","2,439,570,000"
"Dec 21, 2021","4,594.96","4,651.14","4,583.16","4,649.23","4,649.23","2,564,370,000"
"Dec 20, 2021","4,587.90","4,587.90","4,531.10","4,568.02","4,568.02","3,395,780,000"
"Dec 17, 2021","4,652.50","4,666.70","4,600.22","4,620.64","4,620.64","5,609,780,000"
"Dec 16, 2021","4,719.13","4,731.99","4,651.89","4,668.67","4,668.67","3,592,810,000"
"Dec 15, 2021","4,636.46","4,712.60","4,611.22","4,709.85","4,709.85","3,367,580,000"
"Dec 14, 2021","4,642.99","4,660.47","4,606.52","4,634.09","4,634.09","3,292,740,000"
"Dec 13, 2021","4,710.30","4,710.30","4,667.60","4,668.97","4,668.97","3,322,050,000"
"Dec 10, 2021","4,687.64","4,713.57","4,670.24","4,712.02","4,712.02","2,858,310,000"
"Dec 09, 2021","4,691.00","4,695.26","4,665.98","4,667.45","4,667.45","2,851,660,000"
"Dec 08, 2021","4,690.86","4,705.06","4,674.52","4,701.21","4,701.21","3,061,550,000"
"Dec 07, 2021","4,631.97","4,694.04","4,631.97","4,686.75","4,686.75","3,334,320,000"
"Dec 06, 2021","4,548.37","4,612.60","4,540.51","4,591.67","4,591.67","3,305,690,000"
"Dec 03, 2021","4,589.49","4,608.03","4,495.12","4,538.43","4,538.43","3,971,500,000"
"Dec 02, 2021","4,504.73","4,595.46","4,504.73","4,577.10","4,577.10","3,771,510,000"
"Dec 01, 2021","4,602.82","4,652.94","4,510.27","4,513.04","4,513.04","4,078,260,000"
"Nov 30, 2021","4,640.25","4,646.02","4,560.00","4,567.00","4,567.00","4,950,190,000"
"Nov 29, 2021","4,628.75","4,672.95","4,625.26","4,655.27","4,655.27","3,471,380,000"
"Nov 26, 2021","4,664.63","4,664.63","4,585.43","4,594.62","4,594.62","2,676,740,000"
"Nov 24, 2021","4,675.78","4,702.87","4,659.89","4,701.46","4,701.46","2,464,040,000"
"Nov 23, 2021","4,678.48","4,699.39","4,652.66","4,690.70","4,690.70","3,428,780,000"
